State,Democrat Percentage,Republican Percentage,,,
Maine,47,39,,,
New Hampshire,43,40,,,
Vermont,52,30,,,
Massachusetts,57,26,,,
Rhode Island,48,27,,,
Connecticut,51,32,,,
New York,52,29,,,
New Jersey,48,33,,,
Pennsylvania,46,41,,,
Maryland,56,28,,,
Delaware,45,33,,,
West Virginia,40,44,,,
Ohio,41,42,,,
Michigan,45,38,,,
Indiana,41,43,,,
Illinois,50,33,,,
Wisconsin,43,41,,,
Minnesota,47,37,,,
Iowa,42,42,,,
Missouri,38,45,,,
North Dakota,28,56,,,
South Dakota,35,52,,,
Nebraska,35,50,,,
Kansas,34,48,,,
Virginia,45,38,,,
North Carolina,44,39,,,
South Carolina,37,47,,,
Georgia,42,40,,,
Florida,42,39,,,
Kentucky,41,45,,,
Tennessee,35,47,,,
Alabama,35,50,,,
Mississippi,38,45,,,
Arkansas,36,45,,,
Louisiana,40,43,,,
Oklahoma,35,49,,,
Texas,38,41,,,
Montana,37,51,,,
Arizona,40,42,,,
Colorado,46,37,,,
Idaho,31,53,,,
Wyoming,27,56,,,
Utah,29,56,,,
Nevada,42,39,,,
New Mexico,48,34,,,
California,51,30,,,
Oregon,49,36,,,
Washington,49,34,,,
Hawaii,50,28,,,
Alaska,31,52,,,
District of Columbia,70,11,,,